Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,In Spec,Units
PAC Flash 2,box_2201765855296,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 2/Pac Flash 2_parsed.csv,24.00,2025-11-12 10:49:10,2025-11-10 22:57:51.775499,Last in-spec QC is stale.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,61,YES,C
Auto Grabner,box_1840573737440,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Auto Grabner/Auto Grabner_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,,,C
Mini Grabner,box_1840573738448,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,,,C
Multitek S,box_1840573733840,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek S/Parsed data/Multitek S_parsed.csv,24.00,2025-11-12 10:49:10,2025-11-08 04:46:19.498461,Last in-spec QC is stale.,NO,AO24,Sulfur - D5453,9,1.7,7.3,10.7,8.958,YES,mg/kg
PAC Flash 1,box_2096856031904,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 1/Pac Flash 1_parsed.csv,24.00,,2025-11-10 22:41:04.293782,At least one watched test is out of spec or missing.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,58,NO,C
Viscocity,box_2301728638432,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Viscosity - Kin Results/Viscosity - Kin Results.csv,24.00,,2025-11-10 20:48:12.036946,Insufficient data for one or more tests.,NO,AO24,Viscosity - D445,2.2469,0.0478,2.1991,2.2947,,,mm2/s
Handheld API,box_2301728342368,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/API Results/API Results.csv,24.00,,2025-11-10 23:47:44.491460,Insufficient data for one or more tests.,NO,AO24,API Gravity D4052-22,42.79,0.12,42.67,42.91,,,API
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,AO24,Pour Point - D7346,-23,4.6,-27.6,-18.4,,,C
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,AO24,Cloud Point - D7689,-12.27,1.52,-13.79,-10.75,,,C
OptiMPP 2,box_175810797800002,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,AO24,Pour Point - D7346,-23,4.6,-27.6,-18.4,,,C
OptiMPP 2,box_175810797800002,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,AO24,Cloud Point - D7689,-12.27,1.52,-13.79,-10.75,,,C
Machine,box_2440659641856,UNKNOWN,,C:/Users/cassa/Downloads/Section_5_Fields__preview_.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,,,C
