Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,In Spec,Units
Mini Grabner,box_1840573738448,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,,,C
Multitek S,box_1840573733840,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek S/Parsed data/Multitek S_parsed.csv,24.00,2025-09-25 09:41:00,2025-09-25 23:51:35.378999,All watched tests are within expected ranges.,NO,AO24,Sulfur - D5453,9,1.7,7.3,10.7,9.263,YES,mg/kg
PAC Flash 1,box_2096856031904,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 1/Pac Flash 1_parsed.csv,24.00,2025-09-25 00:00:56,2025-09-25 16:01:17.307968,All watched tests are within expected ranges.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,60,YES,C
Viscocity,box_2301728638432,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Viscosity - Kin Results/Viscosity - Kin Results.csv,24.00,2025-09-25 00:00:56,2025-09-23 18:11:11.513692,Last in-spec QC is stale.,NO,AO24,Viscosity - D445,2.2469,0.0478,2.1991,2.2947,2.28,YES,mm2/s
Handheld API,box_2301728342368,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/API Results/API Results.csv,24.00,2025-09-25 09:21:00,2025-09-25 16:28:38.052778,All watched tests are within expected ranges.,NO,AO24,API Gravity D4052-22,42.79,0.12,42.67,42.91,42.7,YES,API
OptiMPP 1,box_175810797800001,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,2025-09-25 00:00:56,2025-09-24 22:38:28.658989,All watched tests are within expected ranges.,NO,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,-6.4,YES,C
OptiMPP 1,box_175810797800001,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,2025-09-25 00:00:56,2025-09-24 22:38:28.658989,All watched tests are within expected ranges.,NO,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,-18.3,YES,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,AO24,Pour Point - D7346,-23,4.6,-27.6,-18.4,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,AO24,Cloud Point - D7689,-12.27,1.52,-13.79,-10.75,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,,,C
BenchTop Bio,box_2332332582384,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Bio Results/Bio Results.csv,24.00,2025-09-25 09:22:00,2025-09-25 16:34:48.556174,All watched tests are within expected ranges.,NO,SetaCheck 5%,Bio - D7371,5,0.5,4.5,5.5,4.6,YES,%
AQUAMAX KF,box_1834023730592,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/KF Results/KF Results.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,KF - D6304,32.75,15,17.75,47.75,,,ppm
