Checklist,Item,User,Time,Checked
Opening,Power on fans & Ventilation Systems,ryan,10:02,False
Opening,Check and Record Gas Levels (Replace if under 300 PSI),ryan,10:03,False
Opening,Put away dry glassware ,ryan,10:03,False
Opening,"Empty Dishwasher, put away, or set to dry",ryan,10:03,False
Opening,Empty Ultrasonic Cleaner (if still wet set to dry),ryan,10:03,False
Opening,Verify that all parser instances are still running,ryan,10:03,False
Opening,Check Equipment Manager (EQM) to see that all nightly testing machines were in spec,ryan,10:03,False
Opening,Check Master Spreadsheet to see that all nightly testing was completed.,ryan,10:03,False
Opening,Sulfur (Solvent: Toluene),ryan,10:03,False
Opening,GC (Solvent: Acetone),ryan,10:03,False
Opening,Cloud and Pour,ryan,10:03,False
Opening,"Read microbial resutls, and enter them into QBench",ryan,10:03,False
Opening,Create Karl Fisher Vessel and precondition them,ryan,10:03,False
Opening,Run QC on the following Machines and verify their resutls on the EQM,ryan,10:03,False
Opening,Eraspec,ryan,10:03,False
Opening,Flash Machines,ryan,10:03,False
Opening,Sulfur Machines,ryan,10:03,False
Opening,GC,ryan,10:03,False
