Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,Timestamp Source,In Spec,Units
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-12-30 15:57:58,2025-12-30 15:57:58,All watched tests are within expected ranges.,YES,AJ25,IBP - D86,161.38,5.46,155.92,166.84,162.44,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-12-30 15:57:58,2025-12-30 15:57:58,All watched tests are within expected ranges.,YES,AJ25,10% - D86,196.62,2.54,194.08,199.16,197.8,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-12-30 15:57:58,2025-12-30 15:57:58,All watched tests are within expected ranges.,YES,AJ25,50% - D86,257.08,1.76,255.32,258.84,257.8,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-12-30 15:57:58,2025-12-30 15:57:58,All watched tests are within expected ranges.,YES,AJ25,90% - D86,323.24,3.34,319.9,326.58,323.9,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-12-30 15:57:58,2025-12-30 15:57:58,All watched tests are within expected ranges.,YES,AJ25,FBP - D86,354.51,4.24,350.27,358.75,355.27,parsed,YES,C
Multitek NS,box_1870507241056,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek NS/Parsed Data/Multitek NS_parsed.csv,24.00,2025-12-30 08:48:58,2025-12-30 08:48:58,All watched tests are within expected ranges.,YES,AJ25,Sulfur - D5453,8.9,1.48,7.42,10.38,8.577,parsed,YES,mg/kg
Eraspec,box_1870507241920,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2025-12-30 11:09:54,2025-12-30 11:09:54,All watched tests are within expected ranges.,YES,AJ25,API Gravity D4052-22,37.37,0.1,37.27,37.47,37.35,parsed,YES,API
Eraspec,box_1870507241920,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2025-12-30 11:09:54,2025-12-30 11:09:54,All watched tests are within expected ranges.,YES,AJ25,IBP - D86,161.38,5.46,155.92,166.84,161.4,parsed,YES,C
Eraspec,box_1870507241920,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2025-12-30 11:09:54,2025-12-30 11:09:54,All watched tests are within expected ranges.,YES,AJ25,10% - D86,196.62,2.54,194.08,199.16,196.6,parsed,YES,C
Eraspec,box_1870507241920,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2025-12-30 11:09:54,2025-12-30 11:09:54,All watched tests are within expected ranges.,YES,AJ25,50% - D86,257.08,1.76,255.32,258.84,257.1,parsed,YES,C
Eraspec,box_1870507241920,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2025-12-30 11:09:54,2025-12-30 11:09:54,All watched tests are within expected ranges.,YES,AJ25,90% - D86,323.24,3.34,319.9,326.58,323.2,parsed,YES,C
Eraspec,box_1870507241920,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2025-12-30 11:09:54,2025-12-30 11:09:54,All watched tests are within expected ranges.,YES,AJ25,FBP - D86,354.51,4.24,350.27,358.75,354.5,parsed,YES,C
PAC Flash 2,box_2201765855296,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 2/Pac Flash 2_parsed.csv,24.00,2025-12-30 08:29:28,2025-12-30 08:29:28,All watched tests are within expected ranges.,YES,AJ25,Flash - D3828,57.74,2.94,54.8,60.68,57.5,parsed,YES,C
Auto Grabner,box_1840573737440,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Auto Grabner/Auto Grabner_parsed.csv,24.00,2025-12-30 08:35:10,2025-12-30 08:35:10,All watched tests are within expected ranges.,YES,AJ25,Flash - D3828,57.74,2.94,54.8,60.68,56.5,parsed,YES,C
Mini Grabner,box_1840573738448,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,2025-12-30 10:49:05,2025-12-30 10:49:05,All watched tests are within expected ranges.,NO,AJ25,Flash - D3828,57.74,2.94,54.8,60.68,57.8,file_mtime,YES,C
Multitek S,box_1840573733840,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek S/Parsed data/Multitek S_parsed.csv,24.00,2025-12-30 14:28:15,2025-12-30 14:28:15,All watched tests are within expected ranges.,YES,AJ25,Sulfur - D5453,8.9,1.48,7.42,10.38,9.05,parsed,YES,mg/kg
PAC Flash 1,box_2096856031904,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 1/Pac Flash 1_parsed.csv,24.00,2025-12-30 08:28:42,2025-12-30 08:28:42,All watched tests are within expected ranges.,YES,AJ25,Flash - D3828,57.74,2.94,54.8,60.68,56.5,parsed,YES,C
Viscocity,box_2301728638432,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Viscosity Results/Viscosity Results.csv,24.00,2025-12-19 17:08:24,2025-12-19 17:08:24,Last in-spec QC is stale (cached).,NO,AJ25,Viscosity - D445,2.36,0.0442,2.3158,2.4042,2.392,file_mtime,YES,mm2/s
Handheld API,box_2301728342368,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/API Results/API Results.csv,24.00,2025-12-23 11:25:55.075165,2025-12-23 11:25:55.075165,Last in-spec QC is stale.,NO,AJ25,API Gravity D4052-22,37.37,0.1,37.27,37.47,37.3,file_mtime,YES,API
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,,,,C
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,,,,C
OptiMPP 2,box_175810797800002,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/optimpp 2_parsed.csv,168.00,,2025-12-29 10:23:11,Insufficient data for one or more tests.,YES,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,,parsed,,C
OptiMPP 2,box_175810797800002,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/optimpp 2_parsed.csv,168.00,,2025-12-29 10:23:11,Insufficient data for one or more tests.,YES,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,,parsed,,C
BenchTop Bio,box_2332332582384,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Bio Results/Bio Results.csv,24.00,,2025-11-12 17:45:34.915816,Insufficient data for one or more tests.,NO,SetaCheck 5%,Bio - D7371,5,0.5,4.5,5.5,,file_mtime,,%
