Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,Timestamp Source,In Spec,Units
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-10-16 13:51:48,2025-10-16 13:51:48,All watched tests are within expected ranges.,YES,AO24,90% - D86,331.84,3.8,328.04,335.64,333.39,parsed,YES,C
Multitek NS,box_1870507241056,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek NS/Parsed Data/Multitek NS_parsed.csv,24.00,2025-10-14 17:38:12,2025-10-14 17:38:12,Last in-spec QC is stale.,YES,AO24,Sulfur - D5453,9,1.7,7.3,10.7,9.532,parsed,YES,mg/kg
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,API Gravity D4052-22,42.79,0.12,42.67,42.91,,,,API
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,IBP - D86,165.69,5.56,160.13,171.25,,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,10% - D86,189.11,2.24,186.87,191.35,,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,50% - D86,246.67,2.24,244.43,248.91,,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,90% - D86,331.84,3.8,328.04,335.64,,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,FBP - D86,365.33,5.52,359.81,370.85,,,,C
PAC Flash 2,box_2201765855296,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 2/Pac Flash 2_parsed.csv,24.00,2025-10-16 09:19:57,2025-10-16 09:19:57,All watched tests are within expected ranges.,YES,AO24,Flash - D3828,60.72,2.42,58.3,63.14,61,parsed,YES,C
Auto Grabner,box_1840573737440,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Auto Grabner/Auto Grabner_parsed.csv,24.00,2025-10-15 10:04:14,2025-10-15 10:04:14,Last in-spec QC is stale.,YES,AO24,Flash - D3828,60.72,2.42,58.3,63.14,60,parsed,YES,C
Mini Grabner,box_1840573738448,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,2025-10-16 09:00:42.315371,2025-10-16 09:00:42.315371,All watched tests are within expected ranges.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,59.8,file_mtime,YES,C
Multitek S,box_1840573733840,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek S/Parsed data/Multitek S_parsed.csv,24.00,2025-10-16 08:49:38,2025-10-16 08:49:38,All watched tests are within expected ranges.,YES,AO24,Sulfur - D5453,9,1.7,7.3,10.7,10.687,parsed,YES,mg/kg
PAC Flash 1,box_2096856031904,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 1/Pac Flash 1_parsed.csv,24.00,2025-10-16 09:19:58,2025-10-16 09:19:58,All watched tests are within expected ranges.,YES,AO24,Flash - D3828,60.72,2.42,58.3,63.14,59,parsed,YES,C
Viscocity,box_2301728638432,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Viscosity - Kin Results/Viscosity - Kin Results.csv,24.00,2025-10-13 18:31:20.209708,2025-10-13 18:31:20.209708,Last in-spec QC is stale.,NO,AO24,Viscosity - D445,2.2469,0.0478,2.1991,2.2947,2.282,file_mtime,YES,mm2/s
Handheld API,box_2301728342368,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/API Results/API Results.csv,24.00,,2025-10-16 09:36:59.383683,Insufficient data for one or more tests.,NO,AO24,API Gravity D4052-22,42.79,0.12,42.67,42.91,,file_mtime,,API
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,,,,C
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,AO24,Pour Point - D7346,-23,4.6,-27.6,-18.4,,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,AO24,Cloud Point - D7689,-12.27,1.52,-13.79,-10.75,,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,,,,C
OptiMPP 2,box_175810797800002,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,,,,C
BenchTop Bio,box_2332332582384,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Bio Results/Bio Results.csv,24.00,,2025-10-16 09:40:16.952276,Insufficient data for one or more tests.,NO,SetaCheck 5%,Bio - D7371,5,0.5,4.5,5.5,,file_mtime,,%
AQUAMAX KF,box_1834023730592,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/KF Results/KF Results.csv,24.00,2025-10-16 11:02:21.252959,2025-10-16 11:02:21.252959,All watched tests are within expected ranges.,NO,AO24,KF - D6304,32.75,15,17.75,47.75,19.09,file_mtime,YES,ppm
