Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,Timestamp Source,In Spec,Units
Mini Grabner,box_1840573738448,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,2025-10-23 00:00:52,2025-10-23 11:17:14,All watched tests are within expected ranges.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,59.9,file_mtime,YES,C
Multitek S,box_1840573733840,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek S/Parsed data/Multitek S_parsed.csv,24.00,2025-10-21 16:14:04,2025-10-21 16:14:04,Last in-spec QC is stale.,YES,AO24,Sulfur - D5453,9,1.7,7.3,10.7,10.468,parsed,YES,mg/kg
PAC Flash 1,box_2096856031904,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 1/Pac Flash 1_parsed.csv,24.00,2025-10-23 09:23:29,2025-10-23 09:23:29,All watched tests are within expected ranges.,YES,AO24,Flash - D3828,60.72,2.42,58.3,63.14,59,parsed,YES,C
Viscocity,box_2301728638432,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Viscosity - Kin Results/Viscosity - Kin Results.csv,24.00,,2025-10-20 10:05:45.255746,Insufficient data for one or more tests.,NO,AO24,Viscosity - D445,2.2469,0.0478,2.1991,2.2947,,file_mtime,,mm2/s
Handheld API,box_2301728342368,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/API Results/API Results.csv,24.00,2025-10-23 00:00:52,2025-10-23 16:57:32.503294,Insufficient data for one or more tests.,NO,AO24,API Gravity D4052-22,42.79,0.12,42.67,42.91,,file_mtime,,API
OptiMPP 1,box_175810797800001,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,2025-10-20 14:38:47,2025-10-20 15:02:50,All watched tests are within expected ranges.,YES,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,-6.4,parsed,YES,C
OptiMPP 1,box_175810797800001,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,2025-10-20 14:38:47,2025-10-20 15:02:50,All watched tests are within expected ranges.,YES,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,-18.3,parsed,YES,C
OptiMPP 2,box_175810797800002,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,2025-10-22 14:34:38,2025-10-22 15:33:09,All watched tests are within expected ranges.,YES,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,-6.5,parsed,YES,C
OptiMPP 2,box_175810797800002,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,2025-10-22 14:34:38,2025-10-22 15:33:09,All watched tests are within expected ranges.,YES,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,-20.5,parsed,YES,C
BenchTop Bio,box_2332332582384,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Bio Results/Bio Results.csv,24.00,2025-10-23 00:00:52,2025-10-23 16:57:32.517809,Insufficient data for one or more tests.,NO,SetaCheck 5%,Bio - D7371,5,0.5,4.5,5.5,,file_mtime,,%
AQUAMAX KF,box_1834023730592,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/KF Results/KF Results.csv,24.00,2025-10-23 00:00:52,2025-10-23 12:14:45,All watched tests are within expected ranges.,NO,AO24,KF - D6304,32.75,15,17.75,47.75,38.33,file_mtime,YES,ppm
