Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,Timestamp Source,In Spec,Units
Auto Grabner,box_1840573737440,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Auto Grabner/Auto Grabner_parsed.csv,24.00,2025-11-17 10:16:55,2025-11-17 10:16:55,All watched tests are within expected ranges.,YES,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,73,parsed,YES,C
Mini Grabner,box_1840573738448,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,2025-11-17 00:00:47,2025-11-14 15:17:46,Last in-spec QC is stale (cached).,NO,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,72.1,file_mtime,YES,C
Multitek S,box_1840573733840,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek S/Parsed data/Multitek S_parsed.csv,24.00,2025-11-14 17:08:04,2025-11-14 17:08:04,Last in-spec QC is stale.,YES,AJ24,Sulfur - D5453,7.16,1.06,6.1,8.22,7.451,parsed,YES,mg/kg
PAC Flash 1,box_2096856031904,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 1/Pac Flash 1_parsed.csv,24.00,2025-11-17 08:49:52,2025-11-17 08:49:52,All watched tests are within expected ranges.,YES,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,71,parsed,YES,C
Viscocity,box_2301728638432,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Viscosity - Kin Results/Viscosity - Kin Results.csv,24.00,2025-11-17 00:00:47,2025-11-13 17:04:13.040018,Last in-spec QC is stale.,NO,AJ24,Viscosity - D445,2.6226,0.047,2.5756,2.6696,2.656,file_mtime,YES,mm2/s
Handheld API,box_2301728342368,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/API Results/API Results.csv,24.00,,,Insufficient data for one or more tests.,NO,AJ24,API Gravity D4052-22,37.23,0.12,37.11,37.35,,,,API
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,,,,C
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,,,,C
OptiMPP 2,box_175810797800002,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,,,,C
OptiMPP 2,box_175810797800002,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,Insufficient data for one or more tests.,NO,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,,,,C
BenchTop Bio,box_2332332582384,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Bio Results/Bio Results.csv,24.00,,2025-11-12 17:45:34.915816,Insufficient data for one or more tests.,NO,SetaCheck 5%,Bio - D7371,5,0.5,4.5,5.5,,file_mtime,,%
AQUAMAX KF,box_1834023730592,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/KF Results/KF Results.csv,24.00,2025-11-17 11:39:50,2025-11-17 16:54:25.891335,All watched tests are within expected ranges.,NO,AJ24,KF - D6304,69.6,15,54.6,84.6,58,file_mtime,YES,ppm
