Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,Timestamp Source,In Spec,Units
Agilent GC,box_1870504657248,RED,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,,2025-11-21 16:58:22,At least one watched test is out of spec or missing.,YES,AJ24,90% - D86,328.16,3.2,324.96,331.36,324.16,parsed,NO,C
Multitek NS,box_1870507241056,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek NS/Parsed Data/Multitek NS_parsed.csv,24.00,,2025-11-12 18:13:57,At least one watched test is out of spec or missing.,YES,AJ24,Sulfur - D5453,7.16,1.06,6.1,8.22,5.969,parsed,NO,mg/kg
Eraspec,box_1870507241920,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,No sample/test pairs selected.,NO,,,,,,,,,,
PAC Flash 2,box_2201765855296,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 2/Pac Flash 2_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,,,,C
Auto Grabner,box_1840573737440,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Auto Grabner/Auto Grabner_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,,,,C
Mini Grabner,box_1840573738448,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,,,Insufficient data for one or more tests.,NO,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,,,,C
Multitek S,box_1840573733840,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek S/Parsed data/Multitek S_parsed.csv,24.00,,2025-11-19 17:19:12,At least one watched test is out of spec or missing.,YES,AJ24,Sulfur - D5453,7.16,1.06,6.1,8.22,9.607,parsed,NO,mg/kg
PAC Flash 1,box_2096856031904,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 1/Pac Flash 1_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,,,,C
Viscocity,box_2301728638432,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Viscosity - Kin Results/Viscosity - Kin Results.csv,24.00,,,No sample/test pairs selected.,NO,,,,,,,,,,
Handheld API,box_2301728342368,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/API Results/API Results.csv,24.00,,,No sample/test pairs selected.,NO,,,,,,,,,,
OptiMPP 1,box_175810797800001,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,,,No sample/test pairs selected.,NO,,,,,,,,,,
OptiMPP 2,box_175810797800002,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,,No sample/test pairs selected.,NO,,,,,,,,,,
BenchTop Bio,box_2332332582384,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Bio Results/Bio Results.csv,24.00,,,No sample/test pairs selected.,NO,,,,,,,,,,
AQUAMAX KF,box_1834023730592,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/KF Results/KF Results.csv,24.00,,,Insufficient data for one or more tests.,NO,AJ24,KF - D6304,69.6,15,54.6,84.6,,,,ppm
