Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,Timestamp Source,In Spec,Units
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-10-20 14:28:56,2025-10-20 14:28:56,All watched tests are within expected ranges.,YES,AO24,90% - D86,331.84,3.8,328.04,335.64,333.21,parsed,YES,C
Multitek NS,box_1870507241056,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek NS/Parsed Data/Multitek NS_parsed.csv,24.00,2025-10-20 16:30:19,2025-10-20 16:30:19,All watched tests are within expected ranges.,YES,AO24,Sulfur - D5453,9,1.7,7.3,10.7,7.545,parsed,YES,mg/kg
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,API Gravity D4052-22,42.79,0.12,42.67,42.91,,,,API
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,IBP - D86,165.69,5.56,160.13,171.25,,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,10% - D86,189.11,2.24,186.87,191.35,,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,50% - D86,246.67,2.24,244.43,248.91,,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,90% - D86,331.84,3.8,328.04,335.64,,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,FBP - D86,365.33,5.52,359.81,370.85,,,,C
PAC Flash 2,box_2201765855296,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 2/Pac Flash 2_parsed.csv,24.00,2025-10-20 09:33:43,2025-10-20 09:33:43,All watched tests are within expected ranges.,YES,AO24,Flash - D3828,60.72,2.42,58.3,63.14,62.5,parsed,YES,C
Auto Grabner,box_1840573737440,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Auto Grabner/Auto Grabner_parsed.csv,24.00,2025-10-20 10:01:52,2025-10-20 10:01:52,All watched tests are within expected ranges.,YES,AO24,Flash - D3828,60.72,2.42,58.3,63.14,60.5,parsed,YES,C
Mini Grabner,box_1840573738448,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,2025-10-20 10:01:48,2025-10-20 11:39:06.104135,All watched tests are within expected ranges.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,60.7,file_mtime,YES,C
Multitek S,box_1840573733840,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek S/Parsed data/Multitek S_parsed.csv,24.00,2025-10-20 12:23:32,2025-10-20 12:23:32,All watched tests are within expected ranges.,YES,AO24,Sulfur - D5453,9,1.7,7.3,10.7,10.663,parsed,YES,mg/kg
PAC Flash 1,box_2096856031904,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 1/Pac Flash 1_parsed.csv,24.00,2025-10-20 09:32:31,2025-10-20 09:32:31,All watched tests are within expected ranges.,YES,AO24,Flash - D3828,60.72,2.42,58.3,63.14,59.5,parsed,YES,C
Viscocity,box_2301728638432,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Viscosity - Kin Results/Viscosity - Kin Results.csv,24.00,2025-10-20 00:00:48,2025-10-20 10:05:45.255746,Insufficient data for one or more tests.,NO,AO24,Viscosity - D445,2.2469,0.0478,2.1991,2.2947,,file_mtime,,mm2/s
Handheld API,box_2301728342368,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/API Results/API Results.csv,24.00,2025-10-20 09:55:48,2025-10-20 11:38:07.642815,All watched tests are within expected ranges.,NO,AO24,API Gravity D4052-22,42.79,0.12,42.67,42.91,42.8,file_mtime,YES,API
OptiMPP 1,box_175810797800001,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,2025-10-20 14:38:47,2025-10-20 15:02:50,All watched tests are within expected ranges.,YES,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,-6.4,parsed,YES,C
OptiMPP 1,box_175810797800001,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 1/OptiMPP 1_parsed.csv,168.00,2025-10-20 14:38:47,2025-10-20 15:02:50,All watched tests are within expected ranges.,YES,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,-18.3,parsed,YES,C
OptiMPP 2,box_175810797800002,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,2025-10-20 16:33:15,At least one watched test is out of spec or missing.,YES,Cloud CRM,Cloud - D7689,-7.4,2.8,-10.2,-4.6,-6.5,parsed,YES,C
OptiMPP 2,box_175810797800002,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Cloud & Pour/OptiMPP 2/OptiMPP 2_parsed.csv,168.00,,2025-10-20 16:33:15,At least one watched test is out of spec or missing.,YES,Pour CRM,Pour Point - D7346,-18.3,6.4,-24.7,-11.9,-28,parsed,NO,C
BenchTop Bio,box_2332332582384,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Bio Results/Bio Results.csv,24.00,2025-10-20 09:58:48,2025-10-20 11:31:36.403987,All watched tests are within expected ranges.,NO,SetaCheck 5%,Bio - D7371,5,0.5,4.5,5.5,5,file_mtime,YES,%
AQUAMAX KF,box_1834023730592,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/KF Results/KF Results.csv,24.00,2025-10-20 09:41:48,2025-10-20 14:30:45.202072,All watched tests are within expected ranges.,NO,AO24,KF - D6304,32.75,15,17.75,47.75,25.04,file_mtime,YES,ppm
